game_lineups_id,date,game_id,player_id,club_id,player_name,type,position,number,team_captain
e17c10e06c13b771f6a859dd7acacb5a,2014-02-08,2332226,132,11,Tomas Rosicky,substitutes,Attacking Midfield,7,0
8c2b0fe182982cde0ab3c98c07c44a92,2014-02-08,2332226,3109,31,Steven Gerrard,starting_lineup,Defensive Midfield,8,1
1d4bc0abfc4c34707b1ad9d912f6b419,2014-02-08,2332226,3202,31,Kolo Touré,starting_lineup,Centre-Back,4,0
a51ac63636afdaf52933624209d6d69b,2014-01-11,2332227,1327,379,Alou Diarra,substitutes,Centre-Back,18,0
bdaf555d4bd6a4c7eca79be52b846886,2014-01-11,2332227,1368,379,Guy Demel,starting_lineup,Right-Back,20,0
03ae21d5f4d7b20040d67014e551454f,2014-01-11,2332227,3179,379,Carlton Cole,starting_lineup,Centre-Forward,24,0
034b14d4515daf50cb4f4743f66b607c,2014-01-11,2332227,3297,603,Craig Bellamy,substitutes,Left Winger,39,0
d9dee76f2a20d9c24262bc8f29961a07,2014-01-11,2332228,488,2288,Gerhard Tremmel,starting_lineup,Goalkeeper,25,0
482d75288bc1bb7a28707bd478f598a4,2014-01-11,2332228,3406,985,Ryan Giggs,substitutes,Left Midfield,11,0
8b554b16004533a501bd98813faa0c5f,2014-01-12,2332229,2963,281,Martín Demichelis,starting_lineup,Centre-Back,26,0
87ca939466df50cf24fab8967f94bd0e,2014-01-12,2332229,3333,281,James Milner,substitutes,Left Midfield,7,0
26a00636caefbcb1c785234c76050644,2014-01-28,2332230,3297,603,Craig Bellamy,starting_lineup,Left Winger,39,0
e7f89c7d6d1fda6192dd93fbb8eb8750,2014-01-28,2332230,3332,985,Wayne Rooney,substitutes,Centre-Forward,10,0
f3f0b8d01ad0be60f6ba4bc1573a0fdb,2014-01-28,2332230,3406,985,Ryan Giggs,starting_lineup,Central Midfield,11,0
16f2e52e85fbe36ae1a9cfa3dc4a6fa5,2014-01-13,2332231,132,11,Tomas Rosicky,substitutes,Right Winger,7,0
9f59042486a264f740f269028ac3109d,2014-01-11,2332232,3160,631,John Terry,starting_lineup,Centre-Back,26,1
bac16f25983e5731d985b2225136b7b9,2014-01-11,2332232,3182,631,Ashley Cole,starting_lineup,Left-Back,3,0
744d0f3f92e0a0b1aad191a0072fad5d,2014-01-11,2332232,3357,631,Mark Schwarzer,substitutes,Goalkeeper,23,0
ee1df52a0d958f5db6da26537ad01454,2014-01-18,2332233,1327,379,Alou Diarra,substitutes,Defensive Midfield,18,0
eb9beac9cc5fb40982dcd199250a9181,2014-01-18,2332233,3179,379,Carlton Cole,starting_lineup,Centre-Forward,24,0
6c647ec188e7d2b947238d85b76b5a1f,2014-01-18,2332233,3276,762,Shola Ameobi,substitutes,Left Winger,23,0
6662a9e941d411dc99a833aa87db091c,2014-01-29,2332234,3226,984,Nicolas Anelka,starting_lineup,Right Winger,39,0
4fb3c4064dffc5168bc96b9abd8cd890,2014-02-08,2332236,2857,3008,Eldin Jakupović,substitutes,Goalkeeper,16,0
372870ee98b28e1c17268573947a34bd,2014-02-08,2332236,3405,289,Wes Brown,starting_lineup,Centre-Back,5,0
b41ace701eab3f163955d86fde49898d,2014-01-20,2332237,3226,984,Nicolas Anelka,starting_lineup,Centre-Forward,39,0
233b95de555cddabd2d2e0ea3e47c2a0,2014-01-20,2332237,3291,29,Gareth Barry,starting_lineup,Central Midfield,18,0
c45ed29e9bf7544ddeb45018956f3cc7,2014-01-20,2332237,3356,29,Sylvain Distin,starting_lineup,Centre-Back,15,0
2256aff28de4d312e37d35b8218309c5,2014-01-18,2332239,3109,31,Steven Gerrard,starting_lineup,Central Midfield,8,1
cf87d9f8e8f5fe8ce592079d0061e060,2014-01-18,2332239,3202,31,Kolo Touré,starting_lineup,Centre-Back,4,0
d3a0619002bcb0000ce9a554885afb4d,2014-01-19,2332241,488,2288,Gerhard Tremmel,starting_lineup,Goalkeeper,25,0
3f29551749a413310953e674fa5bb87d,2014-02-08,2332242,2963,281,Martín Demichelis,starting_lineup,Centre-Back,26,0
fdddf2abf69626c1446e9aaa5a73ba92,2014-02-08,2332242,3270,1123,Joseph Yobo,starting_lineup,Centre-Back,26,0
ce619c1637481f56f650c29eb49eb0e3,2014-02-08,2332242,3333,281,James Milner,starting_lineup,Central Midfield,7,0
7a9da249c18935c55ff39afd466d7211,2014-04-26,2332243,3235,985,Rio Ferdinand,starting_lineup,Centre-Back,5,0
990acc148e3f7c09d6151433d276d61d,2014-04-26,2332243,3332,985,Wayne Rooney,starting_lineup,Second Striker,10,0
d47272989a32748c5a936cfd364fbd00,2014-01-12,2332245,3109,31,Steven Gerrard,starting_lineup,Central Midfield,8,1
8ab3a4d0088b563474863a3024dabd9e,2014-01-12,2332245,3195,512,Jermaine Pennant,substitutes,Right Winger,7,0
9f81b38a43f5eab8e08fc38f6b82744d,2014-01-12,2332245,3202,31,Kolo Touré,starting_lineup,Centre-Back,4,0
703b4bb5fad01393e4e3d756a4256b9a,2014-01-12,2332245,3306,512,Jonathan Walters,starting_lineup,Right Winger,19,0
b05d5f6680c6ab9d9600a5e8753d4614,2014-01-18,2332246,2963,281,Martín Demichelis,starting_lineup,Centre-Back,26,0
edc649ad44d8402be567489f576fc9d3,2014-01-18,2332246,3297,603,Craig Bellamy,substitutes,Left Winger,39,0
dfddf33f4112b4a1631f376ee3b50712,2014-01-18,2332246,3333,281,James Milner,substitutes,Right Midfield,7,0
829ed8a443822b806239d1b751e459e0,2014-01-18,2332247,65,931,Dimitar Berbatov,starting_lineup,Centre-Forward,9,0
7d3a353191836cfd592cd1a5e0d6a582,2014-01-18,2332247,132,11,Tomas Rosicky,substitutes,Attacking Midfield,7,0
13cdb6c58a3d714c22e2b7f5b2756563,2014-01-18,2332247,1662,931,Sascha Riether,starting_lineup,Right-Back,27,0
c5f67bcea0438a4af82be3e8c2428611,2014-01-18,2332247,3220,931,John Arne Riise,substitutes,Left-Back,3,0
8a32cfd061af8d737d04582b1f62a6c3,2014-01-18,2332247,3259,931,Damien Duff,substitutes,Right Midfield,16,0
daa8de3eb5b21bcd75db8e622ef99113,2014-01-18,2332248,3306,512,Jonathan Walters,starting_lineup,Right Winger,19,0
9df5b2868e5f2337b3b93b52695d34f0,2014-01-18,2332249,3405,289,Wes Brown,starting_lineup,Centre-Back,5,0
8e83f9b9a8cac0a97a38c60da68c49fb,2014-01-28,2332250,3109,31,Steven Gerrard,starting_lineup,Defensive Midfield,8,1
e834add59fae7b3b1b3db2e3149afda0,2014-01-28,2332250,3202,31,Kolo Touré,starting_lineup,Centre-Back,4,0
45a250456009e9bd38c5430c5c3a30e6,2014-01-28,2332250,3291,29,Gareth Barry,starting_lineup,Central Midfield,18,0
8371317633a820c7f411b3cddf09f603,2014-04-27,2332251,3109,31,Steven Gerrard,starting_lineup,Defensive Midfield,8,1
4b2d95982435d997f20f28bb0e943d5a,2014-04-27,2332251,3163,631,Frank Lampard,starting_lineup,Central Midfield,8,1
f18773f88f21b80cc8e2630c48d86b20,2014-04-27,2332251,3182,631,Ashley Cole,starting_lineup,Left-Back,3,0
