game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2223033,6996,1,15.0,Oleksandr Sevidov,6994,1,16.0,Vitaliy Kvartsyanyi,Away,0
2223034,2783,1,6.0,Yuriy Maksymov,6996,2,15.0,Oleksandr Sevidov,Away,0
2223034,6996,2,15.0,Oleksandr Sevidov,2783,1,6.0,Yuriy Maksymov,Home,1
2223047,6996,0,15.0,Oleksandr Sevidov,9007,2,5.0,Leonid Kuchuk,Away,0
2223047,9007,2,5.0,Leonid Kuchuk,6996,0,15.0,Oleksandr Sevidov,Home,1
2223057,2477,1,14.0,Nikolay Kostov,6996,1,15.0,Oleksandr Sevidov,Home,0
2223057,6996,1,15.0,Oleksandr Sevidov,2477,1,14.0,Nikolay Kostov,Away,0
2223098,338,4,3.0,Oleg Blokhin,6996,2,15.0,Oleksandr Sevidov,Away,1
2223098,6996,2,15.0,Oleksandr Sevidov,338,4,3.0,Oleg Blokhin,Home,0
2223848,417,1,11.0,Claude Puel,1158,1,4.0,Christian Gourcuff,Away,0
2223848,1158,1,4.0,Christian Gourcuff,417,1,11.0,Claude Puel,Home,0
2223849,244,1,1.0,Élie Baup,14171,0,17.0,Pascal Dupraz,Home,1
2223849,14171,0,17.0,Pascal Dupraz,244,1,1.0,Élie Baup,Away,0
2223856,969,2,16.0,René Girard,14171,3,17.0,Pascal Dupraz,Home,0
2223856,14171,3,17.0,Pascal Dupraz,969,2,16.0,René Girard,Away,1
2223857,273,1,18.0,Frédéric Antonetti,1158,2,3.0,Christian Gourcuff,Home,0
2223857,1158,2,3.0,Christian Gourcuff,273,1,18.0,Frédéric Antonetti,Away,1
2223864,1041,1,3.0,Rémi Garde,1158,1,4.0,Christian Gourcuff,Away,0
2223864,1158,1,4.0,Christian Gourcuff,1041,1,3.0,Rémi Garde,Home,0
2223872,1158,1,4.0,Christian Gourcuff,14171,1,18.0,Pascal Dupraz,Away,0
2223872,14171,1,18.0,Pascal Dupraz,1158,1,4.0,Christian Gourcuff,Home,0
2223882,595,0,12.0,Frédéric Hantz,14171,3,15.0,Pascal Dupraz,Away,0
2223882,14171,3,15.0,Pascal Dupraz,595,0,12.0,Frédéric Hantz,Home,1
2223892,244,1,3.0,Élie Baup,415,0,12.0,Alain Casanova,Away,1
2223892,415,0,12.0,Alain Casanova,244,1,3.0,Élie Baup,Home,0
2223895,750,1,18.0,Eric Hély,3911,2,13.0,Landry Chauvin,Home,0
2223895,3911,2,13.0,Landry Chauvin,750,1,18.0,Eric Hély,Away,1
2223898,1147,4,14.0,Alex Dupont,1158,4,9.0,Christian Gourcuff,Away,0
2223898,1158,4,9.0,Christian Gourcuff,1147,4,14.0,Alex Dupont,Home,0
2223901,1158,1,8.0,Christian Gourcuff,1423,6,5.0,Daniel Sanchez,Away,0
2223901,1423,6,5.0,Daniel Sanchez,1158,1,8.0,Christian Gourcuff,Home,1
2223906,415,4,4.0,Alain Casanova,14171,0,17.0,Pascal Dupraz,Away,1
2223906,14171,0,17.0,Pascal Dupraz,415,4,4.0,Alain Casanova,Home,0
2223912,1158,0,11.0,Christian Gourcuff,3911,2,13.0,Landry Chauvin,Away,0
2223912,3911,2,13.0,Landry Chauvin,1158,0,11.0,Christian Gourcuff,Home,1
2223921,40,1,8.0,Francis Gillot,595,3,11.0,Frédéric Hantz,Away,0
2223921,595,3,11.0,Frédéric Hantz,40,1,8.0,Francis Gillot,Home,1
2223923,244,1,4.0,Élie Baup,1041,4,2.0,Rémi Garde,Home,0
2223923,1041,4,2.0,Rémi Garde,244,1,4.0,Élie Baup,Away,1
2223928,750,2,15.0,Eric Hély,14171,1,18.0,Pascal Dupraz,Home,1
2223928,14171,1,18.0,Pascal Dupraz,750,2,15.0,Eric Hély,Away,0
2223931,40,4,6.0,Francis Gillot,1158,0,11.0,Christian Gourcuff,Away,1
2223931,1158,0,11.0,Christian Gourcuff,40,4,6.0,Francis Gillot,Home,0
2223939,1082,0,8.0,Rudi Garcia,1158,2,10.0,Christian Gourcuff,Away,0
2223939,1158,2,10.0,Christian Gourcuff,1082,0,8.0,Rudi Garcia,Home,1
2223949,417,1,10.0,Claude Puel,750,0,18.0,Eric Hély,Away,1
2223949,750,0,18.0,Eric Hély,417,1,10.0,Claude Puel,Home,0
2223951,244,1,3.0,Élie Baup,1082,0,9.0,Rudi Garcia,Home,1
2223951,1082,0,9.0,Rudi Garcia,244,1,3.0,Élie Baup,Away,0
2223952,40,0,5.0,Francis Gillot,969,1,12.0,René Girard,Away,0
2223952,969,1,12.0,René Girard,40,0,5.0,Francis Gillot,Home,1
2223955,595,2,14.0,Frédéric Hantz,1158,1,11.0,Christian Gourcuff,Home,1
2223955,1158,1,11.0,Christian Gourcuff,595,2,14.0,Frédéric Hantz,Away,0
2223958,415,0,8.0,Alain Casanova,1158,1,11.0,Christian Gourcuff,Away,0
2223958,1158,1,11.0,Christian Gourcuff,415,0,8.0,Alain Casanova,Home,1
2223962,244,2,2.0,Élie Baup,3911,1,14.0,Landry Chauvin,Away,1
2223962,3911,1,14.0,Landry Chauvin,244,2,2.0,Élie Baup,Home,0
2223969,750,1,16.0,Eric Hély,1082,1,11.0,Rudi Garcia,Home,0
2223969,1082,1,11.0,Rudi Garcia,750,1,16.0,Eric Hély,Away,0
2223974,244,0,3.0,Élie Baup,1158,3,8.0,Christian Gourcuff,Home,0
2223974,1158,3,8.0,Christian Gourcuff,244,0,3.0,Élie Baup,Away,1
2223979,40,0,5.0,Francis Gillot,618,0,4.0,Christophe Galtier,Home,0
2223979,618,0,4.0,Christophe Galtier,40,0,5.0,Francis Gillot,Away,0
2223981,750,0,18.0,Eric Hély,1158,2,6.0,Christian Gourcuff,Away,0
2223981,1158,2,6.0,Christian Gourcuff,750,0,18.0,Eric Hély,Home,1
2223985,618,0,8.0,Christophe Galtier,1158,2,4.0,Christian Gourcuff,Home,0
2223985,1158,2,4.0,Christian Gourcuff,618,0,8.0,Christophe Galtier,Away,1
2223986,244,2,3.0,Élie Baup,595,1,15.0,Frédéric Hantz,Away,1
2223986,595,1,15.0,Frédéric Hantz,244,2,3.0,Élie Baup,Home,0
2223987,40,1,7.0,Francis Gillot,1159,1,20.0,Jean Fernandez,Away,0
2223987,1159,1,20.0,Jean Fernandez,40,1,7.0,Francis Gillot,Home,0
2223996,244,1,3.0,Élie Baup,750,3,17.0,Eric Hély,Away,0
2223996,750,3,17.0,Eric Hély,244,1,3.0,Élie Baup,Home,1
2223998,244,1,3.0,Élie Baup,618,0,10.0,Christophe Galtier,Home,1
2223998,618,0,10.0,Christophe Galtier,244,1,3.0,Élie Baup,Away,0
2223999,40,0,7.0,Francis Gillot,1095,0,19.0,Jean-Marc Furlan,Home,0
2223999,1095,0,19.0,Jean-Marc Furlan,40,0,7.0,Francis Gillot,Away,0
2224000,1158,2,5.0,Christian Gourcuff,1421,2,15.0,Hubert Fournier,Home,0
2224000,1421,2,15.0,Hubert Fournier,1158,2,5.0,Christian Gourcuff,Away,0
2224002,969,2,9.0,René Girard,1158,0,7.0,Christian Gourcuff,Home,1
2224002,1158,0,7.0,Christian Gourcuff,969,2,9.0,René Girard,Away,0
2224008,1095,2,19.0,Jean-Marc Furlan,1158,3,6.0,Christian Gourcuff,Away,0
2224008,1158,3,6.0,Christian Gourcuff,1095,2,19.0,Jean-Marc Furlan,Home,1
2224009,750,1,15.0,Eric Hély,1421,0,18.0,Hubert Fournier,Home,1
2224009,1421,0,18.0,Hubert Fournier,750,1,15.0,Eric Hély,Away,0
2224012,40,0,7.0,Francis Gillot,583,1,1.0,Carlo Ancelotti,Home,0
2224012,583,1,1.0,Carlo Ancelotti,40,0,7.0,Francis Gillot,Away,1
2224020,1158,1,8.0,Christian Gourcuff,1159,2,20.0,Patrick Gabriel,Away,0
2224020,1159,2,20.0,Patrick Gabriel,1158,1,8.0,Christian Gourcuff,Home,1
2224026,244,3,3.0,Élie Baup,969,2,12.0,René Girard,Home,1
2224026,969,2,12.0,René Girard,244,3,3.0,Élie Baup,Away,0
2224027,244,2,3.0,Élie Baup,273,2,4.0,Frédéric Antonetti,Away,0
2224027,273,2,4.0,Frédéric Antonetti,244,2,3.0,Élie Baup,Home,0
2224028,40,1,5.0,Francis Gillot,417,0,6.0,Claude Puel,Away,1
2224028,417,0,6.0,Claude Puel,40,1,5.0,Francis Gillot,Home,0
2224031,750,0,16.0,Eric Hély,969,2,9.0,René Girard,Away,0
2224031,969,2,9.0,René Girard,750,0,16.0,Eric Hély,Home,1
2224034,273,2,7.0,Frédéric Antonetti,1158,2,9.0,Christian Gourcuff,Away,0
2224034,1158,2,9.0,Christian Gourcuff,273,2,7.0,Frédéric Antonetti,Home,0
2224037,40,2,4.0,Francis Gillot,1423,0,12.0,Daniel Sanchez,Home,1
2224037,1423,0,12.0,Daniel Sanchez,40,2,4.0,Francis Gillot,Away,0
2224038,244,0,3.0,Élie Baup,1159,1,19.0,Patrick Gabriel,Home,0
2224038,1159,1,19.0,Patrick Gabriel,244,0,3.0,Élie Baup,Away,1
2224041,417,1,6.0,Claude Puel,1158,1,8.0,Christian Gourcuff,Home,0
2224041,1158,1,8.0,Christian Gourcuff,417,1,6.0,Claude Puel,Away,0
2224045,40,0,7.0,Francis Gillot,1147,1,13.0,Albert Emon,Away,0
2224045,1147,1,13.0,Albert Emon,40,0,7.0,Francis Gillot,Home,1
2224050,273,0,6.0,Frédéric Antonetti,1082,2,10.0,Rudi Garcia,Away,0
2224050,1082,2,10.0,Rudi Garcia,273,0,6.0,Frédéric Antonetti,Home,1
